playerID, gamertag, servicetag, first_active, last_active, gameID, game_var_name, game_var_class, game_time, isteam, standing, score, teamstanding, kills, deaths, assists, betrayals, suicides, avg_kill_dist, killed_most_cnt, killed_by_most, killed_by_most_cnt, tot_med_cnt, uniq_tot_med_cnt, sty_med_cnt, uniq_sty_med_cnt, mult_med_cnt, oth_med_cnt
7,Mr Moo Moo 5,0000,/Date(1286407200000-0700)/,/Date(1288761480000-0700)/,291434788,Slayer Pro,3,/Date(1288760333000-0700)/,True,1,6,,6,5,2,0,0,0,0,None,0,5,4,4,3,0,1
1,FearfulSpoon,L33,/Date(1285195260000-0700)/,/Date(1288761600000-0700)/,291434788,Slayer Pro,3,/Date(1288760333000-0700)/,True,1,16,,16,15,0,0,0,10.5915117,3,Tricksta1807,3,22,9,13,4,2,7
6,LeslieChowN1NJA,F20,/Date(1284480780000-0700)/,/Date(1288759740000-0700)/,291418964,Slayer,3,/Date(1288759749000-0700)/,True,0,17,,17,12,3,0,0,7.15104628,6,David I Engle,6,14,9,7,4,1,5
0,Arrow of Doubt,ARRW,/Date(1284516360000-0700)/,/Date(1288761600000-0700)/,291418964,Slayer,3,/Date(1288759749000-0700)/,True,0,10,,10,11,2,0,0,9.288318,3,Robot Tool,4,10,8,8,6,1,1
1,FearfulSpoon,L33,/Date(1285195260000-0700)/,/Date(1288761600000-0700)/,291418964,Slayer,3,/Date(1288759749000-0700)/,True,0,13,,13,12,3,0,0,26.508543,4,Robot Rod,4,18,8,10,5,0,8
7,londoncalling11,S117,/Date(1284835200000-0700)/,/Date(1288779720000-0700)/,291418964,Slayer,3,/Date(1288759749000-0700)/,True,0,10,,10,9,4,0,0,14.8233137,4,Robot Rod,3,9,4,6,2,0,3
4,David I Engle,KILL,/Date(1284686400000-0700)/,/Date(1288800360000-0700)/,291418964,Slayer,3,/Date(1288759749000-0700)/,True,1,17,,17,12,3,0,0,21.5348072,6,FearfulSpoon,4,17,8,9,5,0,8
5,KoalaBEARx,T89,/Date(1284449520000-0700)/,/Date(1288762740000-0700)/,291418964,Slayer,3,/Date(1288759749000-0700)/,True,1,5,,5,13,1,0,0,16.4388943,2,LeslieChowN1NJA,5,8,4,5,2,0,3
3,Robot Tool,R0B0,/Date(1284503760000-0700)/,/Date(1288760520000-0700)/,291418964,Slayer,3,/Date(1288759749000-0700)/,True,1,12,,12,11,1,0,0,10.7017241,4,londoncalling11,4,13,6,11,4,0,2
2,Robot Rod,ROKK,/Date(1284505020000-0700)/,/Date(1288759740000-0700)/,291418964,Slayer,3,/Date(1288759749000-0700)/,True,1,10,,10,14,3,0,0,6.91581154,4,LeslieChowN1NJA,6,13,6,8,5,0,5
0,Arrow of Doubt,ARRW,/Date(1284516360000-0700)/,/Date(1288761600000-0700)/,291399706,Elite Slayer,3,/Date(1288759067510-0700)/,True,0,11,,11,7,1,0,0,5.32677555,5,IUBrown,3,19,12,13,9,0,5
1,FearfulSpoon,L33,/Date(1285195260000-0700)/,/Date(1288761600000-0700)/,291399706,Elite Slayer,3,/Date(1288759067510-0700)/,True,0,9,,9,5,5,0,0,14.931736,5,Im Pro Kidd,3,20,10,16,8,0,4
3,CaptainDigDu,DI,/Date(1285977600000-0700)/,/Date(1288760340000-0700)/,291399706,Elite Slayer,3,/Date(1288759067510-0700)/,True,0,13,,13,3,1,0,0,10.2806463,4,IUBrown,2,19,10,13,6,1,4
2,Jatt Professor,J11,/Date(1285978680000-0700)/,/Date(1288760340000-0700)/,291399706,Elite Slayer,3,/Date(1288759067510-0700)/,True,0,17,,17,9,1,0,0,9.40327,6,charliehut320,4,29,14,18,9,2,8
5,IUBrown,I377,/Date(1285283940000-0700)/,/Date(1288759080000-0700)/,291399706,Elite Slayer,3,/Date(1288759067510-0700)/,True,1,7,,7,12,0,0,0,13.4970837,3,FearfulSpoon,5,8,5,1,1,0,7
7,Im Pro Kidd,BUDA,/Date(1285117140000-0700)/,/Date(1288760580000-0700)/,291399706,Elite Slayer,3,/Date(1288759067510-0700)/,True,1,5,,6,13,0,0,1,11.0194149,3,Arrow of Doubt,4,7,5,1,1,1,5
6,arbator2332,H488,/Date(1284443760000-0700)/,/Date(1288810800000-0700)/,291399706,Elite Slayer,3,/Date(1288759067510-0700)/,True,1,4,,4,15,1,0,0,9.181803,1,Arrow of Doubt,5,7,6,5,4,0,2
4,charliehut320,XXX,/Date(1285653060000-0700)/,/Date(1288767240000-0700)/,291399706,Elite Slayer,3,/Date(1288759067510-0700)/,True,1,6,,7,12,2,1,0,14.9674025,4,Jatt Professor,6,11,7,8,4,0,3
7,SENOR BLASTOIS,HERB,/Date(1284787320000-0700)/,/Date(1288807500000-0700)/,291385592,Slayer,3,/Date(1288758555000-0700)/,True,0,12,,12,12,2,0,0,7.73197937,4,FearfulSpoon,6,15,8,7,4,1,7
5,wormdaddy17,0000,/Date(1285182420000-0700)/,/Date(1288759080000-0700)/,291385592,Slayer,3,/Date(1288758555000-0700)/,True,0,10,,10,13,3,0,0,14.3795414,6,Arrow of Doubt,4,14,6,10,3,0,4
6,ThalamicShip,JERK,/Date(1284507240000-0700)/,/Date(1288761900000-0700)/,291385592,Slayer,3,/Date(1288758555000-0700)/,True,0,16,,16,8,2,0,0,5.076222,6,Arrow of Doubt,4,17,9,5,4,0,10
4,IronBloodhound,IRBH,/Date(1284502020000-0700)/,/Date(1288760520000-0700)/,291385592,Slayer,3,/Date(1288758555000-0700)/,True,0,12,,12,12,2,0,0,17.8424816,5,FearfulSpoon,5,11,6,9,5,0,2
2,Blazeheli,SKUL,/Date(1284818400000-0700)/,/Date(1288758540000-0700)/,291385592,Slayer,3,/Date(1288758555000-0700)/,True,1,9,,9,15,2,0,0,9.11247349,4,ThalamicShip,6,10,7,6,4,0,4
0,Arrow of Doubt,ARRW,/Date(1284516360000-0700)/,/Date(1288761600000-0700)/,291385592,Slayer,3,/Date(1288758555000-0700)/,True,1,11,,11,4,2,0,0,18.43831,4,SENOR BLASTOIS,2,11,9,6,4,1,3
1,FearfulSpoon,L33,/Date(1285195260000-0700)/,/Date(1288761600000-0700)/,291385592,Slayer,3,/Date(1288758555000-0700)/,True,1,15,,15,15,4,0,0,12.1783438,6,ThalamicShip,6,17,10,10,5,3,4
3,MikeNuttz,MAU5,/Date(1287538680000-0700)/,/Date(1288759260000-0700)/,291385592,Slayer,3,/Date(1288758555000-0700)/,True,1,10,,10,16,4,0,0,11.87464,5,wormdaddy17,6,12,7,8,4,0,4
5,TXSTORO,JA99,/Date(1287942840000-0700)/,/Date(1288762320000-0700)/,291365935,Slayer DMRs,3,/Date(1288757884000-0700)/,True,0,11,,11,9,2,0,0,29.0639133,5,Pr3cisi0ni5t,3,12,8,9,5,0,3
